Price,Close,High,Low,Open,Volume
Ticker,GP,GP,GP,GP,GP
Date,,,,,
2024-05-22,1.2599999904632568,1.2999999523162842,1.2369999885559082,1.2699999809265137,40200
2024-05-23,1.2200000286102295,1.2899999618530273,1.2200000286102295,1.2599999904632568,65900
2024-05-24,1.2400000095367432,1.2699999809265137,1.2200000286102295,1.2599999904632568,71900
2024-05-28,1.2200000286102295,1.2699999809265137,1.190000057220459,1.2699999809265137,71700
2024-05-29,1.2000000476837158,1.2200000286102295,1.159999966621399,1.2200000286102295,53800
2024-05-30,1.1990000009536743,1.2389999628067017,1.1699999570846558,1.2100000381469727,35100
2024-05-31,1.1799999475479126,1.2000000476837158,1.059999942779541,1.2000000476837158,65300
2024-06-03,1.190000057220459,1.2200000286102295,1.149999976158142,1.2100000381469727,24400
2024-06-04,1.1399999856948853,1.1799999475479126,1.1299999952316284,1.159999966621399,66100
2024-06-05,1.149999976158142,1.1799999475479126,1.1100000143051147,1.1399999856948853,58200
2024-06-06,1.149999976158142,1.2100000381469727,1.1299999952316284,1.1299999952316284,67300
2024-06-07,1.1970000267028809,1.2000000476837158,1.1299999952316284,1.1399999856948853,53100
2024-06-10,1.1150000095367432,1.190000057220459,1.100000023841858,1.159999966621399,50200
2024-06-11,1.159999966621399,1.190000057220459,1.0700000524520874,1.1100000143051147,94600
2024-06-12,1.149999976158142,1.2000000476837158,1.1299999952316284,1.1299999952316284,80900
2024-06-13,1.149999976158142,1.2000000476837158,1.1200000047683716,1.159999966621399,31100
2024-06-14,1.1399999856948853,1.149999976158142,1.100000023841858,1.1100000143051147,17500
2024-06-17,1.100000023841858,1.1299999952316284,1.0700000524520874,1.100000023841858,46800
2024-06-18,1.1100000143051147,1.1399999856948853,1.0700000524520874,1.090000033378601,30300
2024-06-20,1.0700000524520874,1.1100000143051147,1.059999942779541,1.100000023841858,61900
2024-06-21,1.0199999809265137,1.0709999799728394,1.0099999904632568,1.0700000524520874,52900
2024-06-24,1.065000057220459,1.0800000429153442,1.0299999713897705,1.0299999713897705,32700
2024-06-25,1.0099999904632568,1.059999942779541,1.0099999904632568,1.0399999618530273,42600
2024-06-26,0.9900000095367432,1.0099999904632568,0.9800000190734863,1.0099999904632568,60400
2024-06-27,1.0299999713897705,1.0299999713897705,1.0,1.0,19600
2024-06-28,1.0399999618530273,1.0499999523162842,0.9900000095367432,1.0099999904632568,31100
2024-07-01,1.0399999618530273,1.100000023841858,1.0199999809265137,1.059999942779541,54200
2024-07-02,1.0099999904632568,1.0800000429153442,1.0,1.0299999713897705,57000
2024-07-03,1.0549999475479126,1.059999942779541,1.0099999904632568,1.0099999904632568,33600
2024-07-05,1.1200000047683716,1.2200000286102295,1.090000033378601,1.1799999475479126,200500
2024-07-08,1.2899999618530273,1.340000033378601,1.1200000047683716,1.1200000047683716,216600
2024-07-09,1.2400000095367432,1.2999999523162842,1.1699999570846558,1.2999999523162842,135600
2024-07-10,1.1920000314712524,1.25,1.1699999570846558,1.2400000095367432,63400
2024-07-11,1.2300000190734863,1.2400000095367432,1.149999976158142,1.2400000095367432,103600
2024-07-12,1.2599999904632568,1.2599999904632568,1.2100000381469727,1.2200000286102295,79200
2024-07-15,1.2200000286102295,1.2599999904632568,1.2000000476837158,1.2599999904632568,40700
2024-07-16,1.2400000095367432,1.2400000095367432,1.190000057220459,1.2200000286102295,34000
2024-07-17,1.159999966621399,1.2400000095367432,1.1299999952316284,1.2400000095367432,78800
2024-07-18,1.149999976158142,1.1799999475479126,1.1100000143051147,1.1699999570846558,47600
2024-07-19,1.1200000047683716,1.1699999570846558,1.1119999885559082,1.1699999570846558,32600
2024-07-22,1.125,1.1299999952316284,1.100000023841858,1.1119999885559082,23200
2024-07-23,1.1990000009536743,1.2000000476837158,1.1299999952316284,1.1299999952316284,74800
2024-07-24,1.1549999713897705,1.2300000190734863,1.1519999504089355,1.2000000476837158,46600
2024-07-25,1.090000033378601,1.149999976158142,1.090000033378601,1.1399999856948853,61700
2024-07-26,1.1100000143051147,1.1119999885559082,1.090000033378601,1.1100000143051147,27300
2024-07-29,1.0950000286102295,1.1299999952316284,1.0800000429153442,1.1100000143051147,22700
2024-07-30,1.0499999523162842,1.100000023841858,1.0299999713897705,1.0700000524520874,38000
2024-07-31,1.0399999618530273,1.059999942779541,1.0,1.0,50200
2024-08-01,1.0049999952316284,1.0529999732971191,1.0,1.0399999618530273,27000
2024-08-02,0.949999988079071,1.0099999904632568,0.9319999814033508,1.0099999904632568,109500
2024-08-05,0.9300000071525574,0.9800000190734863,0.8659999966621399,0.8659999966621399,85000
2024-08-06,0.9020000100135803,0.9760000109672546,0.8999999761581421,0.9599999785423279,82000
2024-08-07,0.8700000047683716,0.9399999976158142,0.8529999852180481,0.906000018119812,24800
2024-08-08,0.8799999952316284,0.8889999985694885,0.800000011920929,0.8769999742507935,54100
2024-08-09,0.8100000023841858,0.9200000166893005,0.7900000214576721,0.8899999856948853,57200
2024-08-12,0.7400000095367432,0.800000011920929,0.699999988079071,0.7749999761581421,154200
2024-08-13,0.777999997138977,0.8100000023841858,0.7300000190734863,0.7300000190734863,64300
2024-08-14,0.7549999952316284,0.8500000238418579,0.7440000176429749,0.7940000295639038,73700
2024-08-15,0.8769999742507935,0.8899999856948853,0.7900000214576721,0.7910000085830688,64500
2024-08-16,1.0199999809265137,1.0800000429153442,0.8700000047683716,0.8999999761581421,101200
2024-08-19,0.9300000071525574,1.0199999809265137,0.9300000071525574,1.0199999809265137,59500
2024-08-20,0.8999999761581421,0.949999988079071,0.8600000143051147,0.9200000166893005,34900
2024-08-21,0.9049999713897705,0.9100000262260437,0.8700000047683716,0.8700000047683716,34300
2024-08-22,0.8999999761581421,0.9200000166893005,0.8999999761581421,0.9100000262260437,55100
2024-08-23,0.9100000262260437,0.949999988079071,0.8999999761581421,0.8999999761581421,45800
2024-08-26,0.925000011920929,0.949999988079071,0.9010000228881836,0.9100000262260437,27300
2024-08-27,0.9100000262260437,0.9399999976158142,0.8799999952316284,0.9399999976158142,19900
2024-08-28,0.9129999876022339,0.9399999976158142,0.8899999856948853,0.8899999856948853,8000
2024-08-29,0.8999999761581421,0.9399999976158142,0.8899999856948853,0.9399999976158142,42400
2024-08-30,0.8999999761581421,0.9100000262260437,0.8799999952316284,0.8799999952316284,30700
2024-09-03,0.9100000262260437,0.9399999976158142,0.8799999952316284,0.8999999761581421,41300
2024-09-04,0.8700000047683716,0.9100000262260437,0.8399999737739563,0.8799999952316284,149100
2024-09-05,0.8700000047683716,0.8999999761581421,0.8500000238418579,0.8600000143051147,12500
2024-09-06,0.8399999737739563,0.8629999756813049,0.8299999833106995,0.8629999756813049,39300
2024-09-09,1.0099999904632568,1.0299999713897705,0.8399999737739563,0.859000027179718,141800
2024-09-10,0.9900000095367432,1.0800000429153442,0.9700000286102295,1.0299999713897705,190300
2024-09-11,1.1799999475479126,1.2100000381469727,0.9700000286102295,1.0099999904632568,252000
2024-09-12,1.409999966621399,1.4800000190734863,1.2200000286102295,1.2400000095367432,933100
2024-09-13,1.6299999952316284,1.7699999809265137,1.4550000429153442,1.4700000286102295,1169900
2024-09-16,1.4149999618530273,1.899999976158142,1.399999976158142,1.649999976158142,903700
2024-09-17,1.5199999809265137,1.6399999856948853,1.4299999475479126,1.4700000286102295,259400
2024-09-18,1.350000023841858,1.590000033378601,1.3300000429153442,1.5299999713897705,252100
2024-09-19,1.3300000429153442,1.4299999475479126,1.2999999523162842,1.399999976158142,189500
